LHS,10,DTLZ2,2,8,2,1,4,2,4,7,6
LHS,10,DTLZ2,3,8,6,2,3,1,7,4,5
LHS,10,DTLZ2,5,8,7,3,6,3,3,1,1
LHS,10,DTLZ2,8,8,4,5,5,5,1,2,2
LHS,10,DTLZ4,2,5,1,3,3,2,5,5,5
LHS,10,DTLZ4,3,7,1,2,6,2,4,7,4
LHS,10,DTLZ4,5,8,1,3,6,2,4,7,5
LHS,10,DTLZ4,8,3,1,3,3,2,3,3,3
LHS,10,DTLZ5,2,8,2,1,4,2,4,7,6
LHS,10,DTLZ5,3,8,1,2,2,2,7,5,6
LHS,10,DTLZ5,5,8,4,5,7,5,2,2,1
LHS,10,DTLZ5,8,5,1,5,7,7,4,2,3
LHS,10,DTLZ6,2,5,1,2,6,3,4,7,8
LHS,10,DTLZ6,3,7,1,2,7,3,3,6,5
LHS,10,DTLZ6,5,8,1,2,7,3,3,6,5
LHS,10,DTLZ6,8,8,1,3,7,6,1,4,4
LHS,10,DTLZ7,2,8,1,1,6,1,4,5,7
LHS,10,DTLZ7,3,8,2,1,5,2,4,7,5
LHS,10,DTLZ7,5,6,4,1,4,2,3,6,6
LHS,10,DTLZ7,8,6,4,1,5,1,3,7,7
MVNORM,10,DTLZ2,2,8,1,1,4,3,5,7,5
MVNORM,10,DTLZ2,3,8,6,2,3,1,6,3,5
MVNORM,10,DTLZ2,5,8,7,4,6,5,3,1,2
MVNORM,10,DTLZ2,8,8,4,5,6,7,2,1,2
MVNORM,10,DTLZ4,2,8,1,3,6,2,6,4,4
MVNORM,10,DTLZ4,3,8,1,4,6,1,3,7,5
MVNORM,10,DTLZ4,5,8,1,4,6,2,3,7,5
MVNORM,10,DTLZ4,8,8,1,4,7,2,3,4,4
MVNORM,10,DTLZ5,2,8,1,1,4,3,5,7,5
MVNORM,10,DTLZ5,3,8,1,4,2,2,7,5,6
MVNORM,10,DTLZ5,5,6,4,5,6,6,2,1,2
MVNORM,10,DTLZ5,8,6,1,5,7,7,4,2,3
MVNORM,10,DTLZ6,2,5,1,2,5,3,4,7,8
MVNORM,10,DTLZ6,3,8,1,2,7,3,3,6,5
MVNORM,10,DTLZ6,5,8,1,1,7,3,3,6,5
MVNORM,10,DTLZ6,8,7,1,3,7,5,1,5,3
MVNORM,10,DTLZ7,2,8,1,3,5,2,4,6,6
MVNORM,10,DTLZ7,3,7,1,1,5,1,4,7,5
MVNORM,10,DTLZ7,5,7,4,2,4,1,3,8,6
MVNORM,10,DTLZ7,8,6,4,1,5,1,3,7,7
