LHS,10,DTLZ2,2,1,7,4,5,5,2,3
LHS,10,DTLZ2,3,2,3,1,3,6,3,7
LHS,10,DTLZ2,5,7,3,3,1,5,2,5
LHS,10,DTLZ2,8,7,3,1,2,5,3,6
LHS,10,DTLZ4,2,2,1,5,5,2,5,2
LHS,10,DTLZ4,3,3,7,2,5,6,1,3
LHS,10,DTLZ4,5,5,6,1,3,6,2,4
LHS,10,DTLZ4,8,7,4,1,2,4,2,4
LHS,10,DTLZ5,2,1,7,4,5,5,2,3
LHS,10,DTLZ5,3,1,3,2,3,6,5,6
LHS,10,DTLZ5,5,4,2,1,2,5,5,5
LHS,10,DTLZ5,8,6,2,1,2,6,2,5
LHS,10,DTLZ6,2,6,6,3,4,4,1,1
LHS,10,DTLZ6,3,7,5,1,4,6,2,3
LHS,10,DTLZ6,5,7,3,3,2,3,3,1
LHS,10,DTLZ6,8,6,4,1,2,6,2,4
LHS,10,DTLZ7,2,7,1,1,1,1,1,1
LHS,10,DTLZ7,3,7,5,1,1,5,1,1
LHS,10,DTLZ7,5,2,5,1,5,5,2,2
LHS,10,DTLZ7,8,1,5,3,3,6,1,7
MVNORM,10,DTLZ2,2,1,6,4,6,4,2,3
MVNORM,10,DTLZ2,3,7,2,1,2,5,4,6
MVNORM,10,DTLZ2,5,7,1,1,1,5,4,6
MVNORM,10,DTLZ2,8,7,3,1,2,6,4,5
MVNORM,10,DTLZ4,2,6,7,1,4,4,2,2
MVNORM,10,DTLZ4,3,5,6,1,3,6,1,3
MVNORM,10,DTLZ4,5,5,6,1,3,6,2,4
MVNORM,10,DTLZ4,8,7,5,1,2,6,2,4
MVNORM,10,DTLZ5,2,1,6,4,6,4,2,3
MVNORM,10,DTLZ5,3,1,3,2,4,7,5,6
MVNORM,10,DTLZ5,5,7,3,1,2,6,5,4
MVNORM,10,DTLZ5,8,7,2,1,2,5,4,5
MVNORM,10,DTLZ6,2,7,6,2,4,4,1,3
MVNORM,10,DTLZ6,3,7,5,1,2,5,2,4
MVNORM,10,DTLZ6,5,7,6,2,2,5,1,2
MVNORM,10,DTLZ6,8,7,5,2,3,6,1,4
MVNORM,10,DTLZ7,2,7,2,2,2,2,1,6
MVNORM,10,DTLZ7,3,7,3,1,1,5,3,6
MVNORM,10,DTLZ7,5,6,4,1,2,6,2,4
MVNORM,10,DTLZ7,8,2,5,2,2,6,1,6
