LHS,10,DTLZ2,2,1,7,3,5,4,2,5
LHS,10,DTLZ2,3,3,3,3,3,1,1,7
LHS,10,DTLZ2,5,6,4,1,3,6,2,5
LHS,10,DTLZ2,8,7,1,4,3,5,2,6
LHS,10,DTLZ4,2,2,2,2,2,6,1,6
LHS,10,DTLZ4,3,3,5,1,5,5,2,3
LHS,10,DTLZ4,5,4,6,1,4,7,2,2
LHS,10,DTLZ4,8,7,4,1,2,6,3,4
LHS,10,DTLZ5,2,1,5,3,5,5,3,2
LHS,10,DTLZ5,3,1,2,3,3,5,5,5
LHS,10,DTLZ5,5,4,3,1,1,7,5,5
LHS,10,DTLZ5,8,6,3,1,3,6,2,3
LHS,10,DTLZ6,2,7,4,4,4,3,1,2
LHS,10,DTLZ6,3,7,4,2,2,6,4,1
LHS,10,DTLZ6,5,3,3,2,3,3,1,3
LHS,10,DTLZ6,8,5,5,2,1,5,2,2
LHS,10,DTLZ7,2,7,5,1,1,1,5,1
LHS,10,DTLZ7,3,7,2,1,2,2,2,2
LHS,10,DTLZ7,5,3,7,1,5,5,1,3
LHS,10,DTLZ7,8,1,5,3,2,6,3,6
MVNORM,10,DTLZ2,2,1,6,3,6,5,2,3
MVNORM,10,DTLZ2,3,6,1,3,1,3,5,6
MVNORM,10,DTLZ2,5,7,3,1,3,6,3,2
MVNORM,10,DTLZ2,8,7,1,3,1,5,3,5
MVNORM,10,DTLZ4,2,3,7,5,5,2,1,3
MVNORM,10,DTLZ4,3,4,7,3,4,4,2,1
MVNORM,10,DTLZ4,5,4,6,1,3,6,2,4
MVNORM,10,DTLZ4,8,6,5,1,3,6,2,4
MVNORM,10,DTLZ5,2,1,2,2,2,2,2,2
MVNORM,10,DTLZ5,3,1,3,2,3,6,5,6
MVNORM,10,DTLZ5,5,7,2,2,2,1,2,2
MVNORM,10,DTLZ5,8,7,3,1,2,4,4,4
MVNORM,10,DTLZ6,2,6,6,4,3,5,1,2
MVNORM,10,DTLZ6,3,7,5,3,1,6,4,1
MVNORM,10,DTLZ6,5,7,5,2,4,6,1,2
MVNORM,10,DTLZ6,8,7,3,1,4,4,2,6
MVNORM,10,DTLZ7,2,7,3,3,2,3,1,3
MVNORM,10,DTLZ7,3,7,1,2,2,6,4,4
MVNORM,10,DTLZ7,5,1,1,1,1,1,1,1
MVNORM,10,DTLZ7,8,2,4,2,4,6,1,6
